Cuenta de Location;Etiquetas de columna;;;;;;;;;;;
Etiquetas de fila;no;si;Total general;;Etiquetas de fila;no;si;;;;;
Nhil;1577;9;1586;;Melbourne;3192;758;23.7%;;;;
Katherine;1577;19;1596;;Williamtown;3008;456;15.2%;;;;
Uluru;1577;57;1634;;PearceRAAF;3008;247;8.2%;;;;
MelbourneAirport;3008;;3008;;Walpole;3005;187;6.2%;;;;
PerthAirport;3008;;3008;;Moree;3008;155;5.2%;;;;
Mildura;3008;2;3010;;MountGinini;3039;133;4.4%;;;;
SydneyAirport;3008;4;3012;;Adelaide;3192;103;3.2%;;;;
Nuriootpa;3008;7;3015;;Newcastle;3038;84;2.8%;;;;
Sale;3008;9;3017;;BadgerysCreek;3008;81;2.7%;;;;
Watsonia;3008;10;3018;;NorahHead;3003;75;2.5%;;;;
Portland;3008;13;3021;;Penrith;3038;75;2.5%;;;;
Woomera;3008;19;3027;;Dartmoor;3008;65;2.2%;;;;
Cobar;3008;21;3029;;GoldCoast;3039;60;2.0%;;;;
WaggaWagga;3008;33;3041;;Richmond;3008;58;1.9%;;;;
Bendigo;3039;6;3045;;Uluru;1577;57;3.6%;;;;
SalmonGums;3000;46;3046;;Witchcliffe;3008;57;1.9%;;;;
Townsville;3039;7;3046;;CoffsHarbour;3008;56;1.9%;;;;
AliceSprings;3039;9;3048;;Wollongong;3039;56;1.8%;;;;
MountGambier;3039;10;3049;;Cairns;3039;52;1.7%;;;;
Ballarat;3039;12;3051;;SalmonGums;3000;46;1.5%;;;;
Launceston;3039;12;3051;;NorfolkIsland;3008;45;1.5%;;;;
NorfolkIsland;3008;45;3053;;Tuggeranong;3038;41;1.3%;;;;
Albany;3039;24;3063;;WaggaWagga;3008;33;1.1%;;;;
CoffsHarbour;3008;56;3064;;Brisbane;3192;32;1.0%;;;;
Witchcliffe;3008;57;3065;;Albury;3039;29;1.0%;;;;
Richmond;3008;58;3066;;Albany;3039;24;0.8%;;;;
Albury;3039;29;3068;;Cobar;3008;21;0.7%;;;;
Dartmoor;3008;65;3073;;Katherine;1577;19;1.2%;;;;
NorahHead;3003;75;3078;;Woomera;3008;19;0.6%;;;;
Tuggeranong;3038;41;3079;;Canberra;3435;18;0.5%;;;;
BadgerysCreek;3008;81;3089;;Portland;3008;13;0.4%;;;;
Cairns;3039;52;3091;;Ballarat;3039;12;0.4%;;;;
Wollongong;3039;56;3095;;Launceston;3039;12;0.4%;;;;
GoldCoast;3039;60;3099;;Watsonia;3008;10;0.3%;;;;
Penrith;3038;75;3113;;MountGambier;3039;10;0.3%;;;;
Newcastle;3038;84;3122;;Nhil;1577;9;0.6%;;;;
Moree;3008;155;3163;;Sale;3008;9;0.3%;;;;
MountGinini;3039;133;3172;;AliceSprings;3039;9;0.3%;;;;
Perth;3192;;3192;;Nuriootpa;3008;7;0.2%;;;;
Walpole;3005;187;3192;;Townsville;3039;7;0.2%;;;;
Darwin;3192;1;3193;;Sydney;3343;7;0.2%;;;;
Hobart;3192;5;3197;;Bendigo;3039;6;0.2%;;;;
Brisbane;3192;32;3224;;Hobart;3192;5;0.2%;;;;
PearceRAAF;3008;247;3255;;SydneyAirport;3008;4;0.1%;;;;
Adelaide;3192;103;3295;;Mildura;3008;2;0.1%;;;;
Sydney;3343;7;3350;;Darwin;3192;1;0.0%;;;;
Canberra;3435;18;3453;;MelbourneAirport;3008;;0.0%;;;;
Williamtown;3008;456;3464;;PerthAirport;3008;;0.0%;;;;
Melbourne;3192;758;3950;;Perth;3192;;0.0%;;;;
Total general;145411;3265;148676;;;;;;;;;
